t,X_mean,X_sd
0.444,0.46281803,0.03199378
0.753,0.7399514,0.030939559
0.659,0.68978226,0.030196592
0.805999999999999,0.7932668,0.03248186
0.513,0.5065232,0.034274425
0.84,0.8232608,0.03411442
0.887,0.87572503,0.032290563
0.86,0.856468,0.03609018
0.848,0.86589587,0.032610327
0.0579999999999999,0.029018953,0.028082827
0.111,0.096470706,0.023654917
0.053,0.086023934,0.026790937
0.123,0.20892271,0.021210765
0.0409999999999999,0.02199989,0.02961063
0.965,1.0629814,0.030129474
0.609,0.5803843,0.029673161
0.749,0.7165833,0.04168132
0.759,0.80154866,0.047157884
0.483,0.4454688,0.03112868
0.826,0.8375847,0.034727663
0.382999999999999,0.40121529,0.028924335
0.837,0.83010525,0.034148593
0.146,0.177291,0.020887848
0.742,0.7620111,0.03137943
0.74,0.76190424,0.030829791
0.842,0.8500128,0.037238125
0.665999999999999,0.62488633,0.032559108
0.626,0.6147257,0.032298855
0.842,0.8749395,0.03494293
0.818,0.83635163,0.03630109
0.134,0.17777638,0.02085355
0.065,0.04223019,0.026177578
0.474,0.45545572,0.031763133
0.405,0.37238598,0.027866444
0.068,0.1229217,0.023704352
0.584,0.5729441,0.033098124
0.930999999999999,0.9325407,0.03177185
0.116999999999999,0.19366273,0.021336455
0.849,0.82115686,0.033399247
0.655,0.5873972,0.035254087
0.569,0.5474507,0.035505082
0.516,0.534061,0.03166263
0.724,0.7263638,0.033114526
0.794,0.7664142,0.02911367
0.779,0.773846,0.037199363
0.472,0.49647826,0.030768763
0.517,0.5081375,0.031166768
0.387,0.39637986,0.029559372
0.765999999999999,0.7476501,0.03988476
0.819,0.8045582,0.033622645
0.447999999999999,0.43137518,0.031187203
0.122,0.11690648,0.023892585
0.427,0.39915517,0.03046871
0.307,0.3300137,0.03040757
0.829,0.85235524,0.035828345
0.685,0.63287574,0.032364737
0.929,0.91702,0.027132668
0.368,0.38295335,0.029852413
0.828,0.87371427,0.03377426
0.889,0.88289595,0.029894669
0.657,0.6279653,0.03194621
0.535,0.5326149,0.03226162
0.179,0.11164877,0.02293308
0.785999999999999,0.76376796,0.029551078
0.467,0.4718703,0.029148044
0.156,0.112066396,0.023570882
0.711,0.71231484,0.033847433
0.682,0.7038199,0.030964369
0.514,0.5034475,0.031205604
0.493,0.4894519,0.031945348
0.698,0.7103659,0.031232243
0.42,0.40986475,0.02955448
0.755,0.78954744,0.04665198
0.2,0.15960826,0.023084447
0.45,0.43875173,0.031230865
0.782999999999999,0.7750245,0.030118737
0.738,0.71633714,0.04140683
0.722,0.74211967,0.029689232
0.267,0.19748701,0.03928839
0.214,0.19284128,0.024434766
0.696,0.7204843,0.028831024
0.223999999999999,0.120947964,0.022894118
0.645,0.6086489,0.030165233
0.566,0.5386174,0.03527017
0.615,0.62837136,0.033633355
0.704,0.7185013,0.03143133
0.799,0.8379673,0.038663287
0.115999999999999,0.07360653,0.024993945
0.557,0.5515595,0.0327448
0.508,0.5043489,0.031082425
0.424,0.39786232,0.030670056
0.603,0.5858015,0.0322535
0.479,0.46146008,0.03332974
0.735,0.7448651,0.037436288
0.397999999999999,0.3932827,0.030367758
0.706,0.71772265,0.03207882
0.769,0.7622228,0.039447587
0.099,0.048554778,0.02697317
0.654,0.6626652,0.031662647
0.582,0.57660425,0.03284526
0.773,0.78606284,0.03684621
0.342999999999999,0.31214178,0.023813296
0.192,0.14436224,0.025189457
0.282,0.30646563,0.036596246
0.19,0.18105556,0.0222402
0.298,0.33433986,0.034374066
0.217,0.1740261,0.022537641
0.353,0.3365213,0.02800584
0.126,0.07120155,0.023668846
0.248,0.14664309,0.027099485
0.094,0.034648955,0.025272502
0.273999999999999,0.270152,0.022836152
0.06,-0.01098891,0.025378434
0.089,0.06883841,0.026605193
0.358,0.3029484,0.032277577
0.198,0.10892361,0.02439249
0.349,0.28588012,0.01626515
0.246,0.15021966,0.026623733
0.159,0.08653582,0.02201372
0.100999999999999,0.05360898,0.024329327
0.287,0.33004585,0.0441254
0.293,0.37672958,0.03426689
0.521,0.5368588,0.03083343
0.642,0.62837917,0.030278718
0.611,0.5963926,0.032773145
0.428,0.41652033,0.03142493
0.463999999999999,0.4614948,0.03107297
0.402,0.37043035,0.028089449
0.499,0.51752275,0.0320539
0.492,0.495996,0.032666683
0.447,0.45145935,0.030680142
0.547,0.5657356,0.030743083
0.599,0.587508,0.03308288
0.563,0.55125695,0.030317878
0.41,0.32886422,0.026372483
0.433,0.4276653,0.029619217
0.47,0.45815802,0.031392563
0.457,0.477326,0.033365883
0.385,0.41184777,0.030078422
0.505,0.518517,0.031649288
0.471,0.48484334,0.031156806
0.48,0.48207852,0.031435568
0.417,0.429531,0.032350946
0.515,0.50509197,0.032450095
0.636,0.6904635,0.028494187
0.61,0.6069148,0.03153552
0.58,0.64358073,0.030657263
0.551,0.61967313,0.030897541
0.65,0.6094456,0.03050333
0.562,0.6205679,0.031112557
0.572,0.618918,0.03068023
0.631,0.67358357,0.03100698
0.638,0.6609491,0.03166572
0.602,0.58513844,0.031625755
0.596,0.6241405,0.031635966
0.645999999999999,0.64155895,0.03307716
0.557999999999999,0.6467397,0.031705614
0.64,0.6453319,0.03228301
0.558999999999999,0.59658086,0.031022169
0.648,0.6798697,0.031627562
0.627,0.6656587,0.030170828
0.643,0.668615,0.03150582
0.63,0.64731854,0.030451506
0.534,0.5606213,0.032313444
