N,Dims,Sim,Obs,X_true,X_mean,X_sd
20,5,9,11,1.17638953961432,0.8833639,0.2172721
20,5,9,12,0.0847116415388882,-0.3492462,0.25159067
20,5,9,13,8.83366814581677,8.629906,0.28321728
20,5,9,14,3.01054707961157,3.1119213,0.216342
20,5,9,15,4.92743505863473,5.240005,0.26187122
20,5,9,16,5.00629938673228,4.9232883,0.2484624
20,5,9,17,4.02034473372623,3.6948092,0.24213797
20,5,9,18,9.77082821307704,9.324414,0.27043372
20,5,9,19,3.58326010871679,3.2223136,0.25706822
20,5,9,20,4.91660544415936,4.961717,0.2291324
20,5,10,1,5.07478203158826,4.825376,0.2788232
20,5,10,2,3.06768506066874,2.8852394,0.19883049
20,5,10,3,4.26907666493207,4.481396,0.24189705
20,5,10,4,6.93102080840617,7.0371275,0.3434024
20,5,10,5,0.851359688676894,0.451524,0.24785274
20,5,10,6,2.25436616456136,1.7063717,0.2476398
20,5,10,7,2.74530522990972,2.530923,0.18820016
20,5,10,8,2.72305066231638,2.2683623,0.24261822
20,5,10,9,6.15829307818785,6.038642,0.27061385
20,5,10,10,4.29671525489539,4.1736226,0.21985103
20,5,10,11,6.51655666995794,6.906395,0.27043447
20,5,10,12,5.67737752571702,5.673724,0.26418656
20,5,10,13,1.13508982118219,0.9366921,0.2337149
20,5,10,14,5.95925305271521,6.1495104,0.27783027
20,5,10,15,3.58049975009635,3.5351567,0.20180298
20,5,10,16,4.28809418343008,4.254227,0.20655553
20,5,10,17,0.519033221062273,0.5042171,0.25675473
20,5,10,18,2.64177667442709,2.3851585,0.22633778
20,5,10,19,3.98790730861947,3.9426165,0.21814726
20,5,10,20,8.36134143406525,8.308369,0.28142232
20,5,11,1,2.77249794220552,2.5790756,0.2785847
20,5,11,2,0.0051831291057169,-0.22706209,0.26477605
20,5,11,3,5.10608372977003,5.240686,0.30449352
20,5,11,4,0.140479083638638,-0.2958083,0.2579823
20,5,11,5,0.646897766273469,0.40167734,0.26565853
20,5,11,6,9.54849225468934,9.610654,0.27923065
20,5,11,7,0.864958912134171,0.58444375,0.24907237
20,5,11,8,2.89975009160116,3.1865218,0.27037373
20,5,11,9,8.80699172848836,8.813929,0.3184075
20,5,11,10,1.23216201318428,1.0605057,0.2701072
