N,Dims,Sim,Obs,X_true,X_mean,X_sd
20,5,5,14,5.59172826586291,5.8483586,0.20331353
20,5,5,15,2.62593138730153,2.6219702,0.20274863
20,5,5,16,2.01875211205333,2.0173485,0.2453909
20,5,5,17,3.87525747064501,3.9867592,0.17600629
20,5,5,18,8.87869771569967,9.065518,0.20459844
20,5,5,19,5.5492255394347,5.2377954,0.33225334
20,5,5,20,8.42179385246709,8.30267,0.21304457
20,5,6,1,6.06268297648057,5.768587,0.20686394
20,5,6,2,9.3764197290875,9.580918,0.16921157
20,5,6,3,2.64352067606524,2.400353,0.20666328
20,5,6,4,3.80093919346109,3.618421,0.22527838
20,5,6,5,8.07483389042318,8.234522,0.24942544
20,5,6,6,9.78075725259259,9.728401,0.17160861
20,5,6,7,9.57933716475964,9.703401,0.1710327
20,5,6,8,7.62731856433675,8.229926,0.27376002
20,5,6,9,5.09648534934968,4.990308,0.23114571
20,5,6,10,0.644767952617258,0.14747451,0.25069067
20,5,6,11,6.43572765169665,6.4448733,0.20252725
20,5,6,12,9.15908884257078,9.030531,0.18445583
20,5,6,13,0.952325807884336,1.0305295,0.29494545
20,5,6,14,2.95372802997008,2.5990553,0.20097052
20,5,6,15,7.6993169891648,7.8454146,0.23516378
20,5,6,16,2.55893525900319,2.319356,0.22630407
20,5,6,17,5.17895726021379,4.764738,0.25439385
20,5,6,18,6.7784993047826,7.362848,0.27721685
20,5,6,19,1.47227819310501,1.3539511,0.23693907
20,5,6,20,7.00526044936851,7.2516274,0.21959314
20,5,7,1,9.88909297855571,9.824002,0.15936624
20,5,7,2,3.97745453286916,4.137916,0.18735577
20,5,7,3,1.15697778761387,1.1269823,0.23913848
20,5,7,4,0.697486787103117,0.86625916,0.17605141
20,5,7,5,2.43749390589073,2.1577547,0.2176941
20,5,7,6,7.92010425822809,7.855356,0.22904773
20,5,7,7,3.40062352828681,3.5638273,0.15511656
20,5,7,8,9.72062500659376,9.54293,0.17082877
20,5,7,9,1.65855484548956,1.65502,0.24632491
20,5,7,10,4.59103665780276,4.65064,0.2136972
20,5,7,11,1.71748076798394,1.9821094,0.21753578
