names,cell_cycle_phase,cell_cycle_hrs
E1_356,G2M,0.952
E20_356,G2M,0.966
E21_356,G2M,0.899
E22_356,G1,0.008
E23_356,S-ph,0.675
E24_356,G1,0.166
E2_356,S-ph,0.344
E3_356,G1,0.032
E4_356,G1,
E5_356,S-ph,0.476
E6_356,G1,0.00699999999999999
E7_356,G2M,0.812
E8_356,G1,0.22
E9_356,G2M,0.945
F10_356,S-ph,0.547999999999999
F11_356,G1,0.071
F12_356,S-ph,0.537999999999999
F13_356,G1,
F14_356,G1,0.123
F15_356,S-ph,0.184
F17_356,S-ph,0.39
F18_356,G2M,0.762
F1_356,S-ph,0.664
F22_356,G2M,0.755999999999999
F23_356,G2M,0.795
F24_356,G2M,0.866
F2_356,G2M,0.836
F3_356,G1,0.102
F4_356,G1,0.136
F5_356,G1,0.172
F6_356,S-ph,0.534
F7_356,G1,0.069
F8_356,G2M,0.789
F9_356,G2M,0.873
G10_356,G2M,0.927999999999999
G11_356,S-ph,0.372
G12_356,G2M,0.973
G13_356,G1,0.077
G14_356,G1,0.103
G15_356,G2M,0.985
G16_356,G1,
G17_356,S-ph,0.286
G18_356,G1,
G19_356,G2M,0.774
G1_356,S-ph,0.485
G20_356,G1,
G21_356,G1,0.005
G22_356,S-ph,0.691
G23_356,G1,0.049
G24_356,S-ph,0.583
G2_356,G2M,0.875999999999999
G3_356,G1,0.24
G5_356,S-ph,0.512
G6_356,G2M,0.718
G7_356,G1,
G8_356,S-ph,0.36
G9_356,G1,0.019
H11_356,S-ph,0.650999999999999
H12_356,G2M,0.775
H13_356,G1,0.059
H16_356,G2M,0.780999999999999
H17_356,G2M,0.73
H19_356,G2M,0.855
H1_356,S-ph,0.593
H20_356,G2M,0.764
H22_356,S-ph,0.382
H23_356,G2M,0.915999999999999
H24_356,G1,
H2_356,S-ph,0.398999999999999
H4_356,S-ph,0.68
H5_356,S-ph,0.605
H6_356,S-ph,0.623
H7_356,S-ph,0.444
H8_356,G2M,0.753
H9_356,S-ph,0.659
I10_356,G2M,0.805999999999999
I11_356,S-ph,0.513
I12_356,G2M,0.84
I13_356,G2M,0.887
I14_356,G1,
I15_356,G2M,0.86
I16_356,G2M,0.848
I17_356,G1,0.0579999999999999
I18_356,G1,0.111
I19_356,G1,0.053
I1_356,G1,0.123
I20_356,G1,0.0409999999999999
I21_356,G1,
I23_356,G2M,0.965
I24_356,S-ph,0.609
I3_356,G2M,0.749
I4_356,G2M,0.759
I5_356,S-ph,0.483
I6_356,G2M,0.826
I7_356,S-ph,0.382999999999999
I8_356,G2M,0.837
I9_356,G1,0.146
J10_356,G1,
J11_356,G2M,0.742
J12_356,G2M,0.74
J13_356,G2M,0.842
J14_356,S-ph,0.665999999999999
J16_356,S-ph,0.626
J17_356,G2M,0.842
J18_356,G1,
J19_356,G2M,0.818
J1_356,G1,0.134
J20_356,G1,
J21_356,G1,0.065
J22_356,S-ph,0.474
J24_356,S-ph,0.405
