"","CCNA2","CCNB1","BIRC5","TOP2A","PLK1","NDC80","CDCA8","MKI67","CDC6","CENPF","KRT17","RRM2","t","p"
"128",5.179667,6.307464,4.6569524,5.268987,5.2505074,5.172971,4.7636137,5.452484,3.422138,5.7067933,4.016889,4.700991,0.772,"G2M"
"130",3.9822,5.1294866,4.5405,4.986155,4.071549,5.052406,3.8311517,4.8966484,4.5405,4.756134,1.7938983,5.33043,0.965,"G2M"
"131",4.1881094,5.1900067,4.7520347,5.168924,3.2073197,4.52295,4.408213,4.854372,3.905473,4.9905734,6.3631845,5.3502965,0.854,"G2M"
"132",5.5767303,6.592879,5.2918086,6.173314,5.711478,5.457165,5.190993,6.1092453,2.4611952,5.9011006,2.727313,4.476671,0.737,"G2M"
"133",4.5140347,5.89208,5.2508173,4.6094875,4.043092,4.0629435,2.6080048,5.0304785,4.786341,5.4059305,3.626284,4.9846253,0.075,"G1"
"134",4.0738406,4.4835553,4.613196,5.310061,3.9469728,4.6473455,4.2875805,4.844742,3.481782,5.484316,4.0738406,4.2126784,0.868,"G2M"
"135",3.8433497,4.403105,4.1736827,3.7403667,1.39759,3.3467042,2.6881518,4.196855,3.9065485,3.2333117,0,4.525728,0.387999999999999,"S-ph"
"137",5.6739626,6.6495175,5.5409217,6.2321057,5.5827246,5.472209,5.144492,5.7421727,1.2291193,5.7499,4.3616066,5.4412513,0.604,"S-ph"
"138",5.294961,6.4063816,5.1122513,6.03659,5.1038637,5.153167,5.025028,5.4067574,2.870343,5.859373,3.8744326,4.542484,0.719,"G2M"
"139",3.9876835,4.568996,4.7113137,4.75707,2.269754,4.278769,3.4458382,4.5229692,4.671516,4.2666698,5.442162,5.1720495,0.38,"S-ph"
"140",3.8424652,6.038262,5.2712693,4.4556603,4.7617555,4.772248,2.9052224,4.792907,3.9188173,5.004098,3.6696756,4.729602,0.083,"G1"
"141",4.4639826,4.984796,5.1513553,5.1574736,3.4901197,5.175607,2.5381541,5.181579,5.06821,4.9991903,2.450714,5.6781473,0.315,"S-ph"
"142",4.3553843,5.7022495,5.430651,4.4909387,4.775814,4.7169065,3.4862545,5.4789968,4.610292,5.240257,2.753715,4.6964736,0.144,"G1"
"143",5.178051,6.3624043,5.377154,6.0101023,5.479119,5.415446,5.2470646,6.1203876,1.8372977,5.991799,5.396483,5.009856,0.734,"G2M"
"145",4.7643266,5.797019,4.8677425,5.324956,4.532381,5.103029,4.572773,5.391133,2.711541,5.19212,2.9383647,4.934255,0.822,"G2M"
"146",5.1779284,6.3567047,5.486229,5.7632055,5.1296816,5.0556064,5.0009074,5.6158705,3.0641117,5.4549856,2.7026765,4.403467,0.733,"G2M"
"147",4.0882325,5.592377,4.4477386,5.0101776,3.6204221,3.940136,3.7104304,5.270399,4.9116187,5.0101776,4.284055,4.4339175,0.265,"S-ph"
"148",5.2593203,5.6070895,4.692336,5.429461,4.6097507,4.5544424,4.543004,5.335063,4.1019697,5.4528894,1.8571395,4.6518955,0.879,"G2M"
"149",5.1288795,6.4656696,5.2394814,5.161748,5.153631,5.169799,5.19357,4.9258094,3.0322788,5.483776,3.5906587,4.6302814,0.062,"G1"
"150",5.3806,6.0523863,5.1174645,6.044107,5.2236257,5.5843415,5.2964487,5.656298,2.9191687,5.8005657,4.044503,4.631326,0.804,"G2M"
"151",4.409542,5.157595,4.4583488,5.599909,4.3041434,5.133638,4.1863127,5.237195,3.2848983,5.2038536,4.2615676,5.516683,0.897,"G2M"
"152",4.9028087,5.642824,4.9917846,5.488442,4.734284,4.9917846,4.4372506,5.16505,4.061945,4.8051367,0,5.241588,0.869,"G2M"
"153",4.190565,6.4052134,4.9053073,4.5142307,4.9544296,4.8980885,3.634945,5.3957005,2.7450695,5.169281,5.100694,3.7779438,0.089,"G1"
"154",4.7450657,4.998288,4.5125246,4.924011,3.5305867,4.5690737,3.605376,4.622595,4.6609364,4.5827246,3.265356,5.9915986,0.753,"G2M"
"155",4.7092834,4.922957,4.650411,4.808962,3.5507007,4.461897,3.4552257,4.9457808,4.331752,4.3591714,3.9465516,5.343833,0.529,"S-ph"
"156",4.822236,4.9642634,4.533603,5.522236,3.7288074,5.0886045,4.104127,5.4257007,4.518948,5.312185,4.669426,5.9688163,0.552999999999999,"S-ph"
"157",4.3029637,2.298066,4.7872615,4.9170785,3.8781164,4.5337563,3.4152079,5.404092,4.231225,4.249648,3.9296987,5.15734,0.309,"S-ph"
"158",5.3116784,6.402879,5.0132995,6.237251,5.365486,5.108005,5.0928307,5.7556953,2.7688324,5.6388,4.6356034,5.37706,0.8,"G2M"
"159",1.5808123,5.280752,4.217854,4.1390376,2.3029954,0,1.5808123,3.959899,3.3326442,3.771563,4.9131074,3.5759938,0.163,"G1"
"160",5.284046,5.686244,4.938243,5.960371,4.911228,4.869286,5.126018,5.547778,3.7788587,4.854905,6.0606656,4.911228,0.813,"G2M"
"161",5.358855,6.4015207,5.1592293,4.4383044,4.997724,5.2439184,4.4935427,5.5553713,3.6503959,5.5019317,1.356824,4.514811,0.064,"G1"
"162",3.684165,5.3638296,4.2126403,4.9585423,2.2318223,3.9478738,3.7295425,4.819509,4.3646736,4.6667023,2.3263915,5.1472445,0.67,"S-ph"
"163",5.4644203,6.0201316,5.0991144,5.823707,4.8087964,5.2543926,5.1602035,5.685744,3.7171185,5.414627,3.0748365,5.641977,0.726,"G2M"
"164",4.0249243,6.1764135,5.223791,4.1135345,4.1468906,4.2701917,2.518513,3.9677267,4.7276244,5.1115556,0.71161777,4.823798,0.188,"G1"
"167",4.238315,4.302644,4.7675595,4.7001047,2.8398738,3.653211,3.8509743,4.7805214,4.872722,3.783499,3.354222,5.2657733,0.445,"S-ph"
"168",4.779918,4.150461,4.370448,5.405149,3.8474088,5.32767,3.9464514,4.9864945,4.3198204,5.057253,4.0014863,5.577905,0.561,"S-ph"
"169",5.22744,5.6644444,4.5596347,5.6774716,4.6980305,5.2524967,4.4878516,5.457605,3.658921,5.286554,4.4219356,5.437242,0.849,"G2M"
"170",4.5722327,4.788458,4.61938,4.483966,3.912978,4.4706955,3.5174537,4.788458,4.7487926,4.5722327,5.442666,4.845154,0.709,"S-ph"
"171",4.3572106,4.514748,4.2132683,4.7377844,2.7860975,4.947424,4.1847157,5.223128,4.0450654,4.369324,4.3072324,5.3925047,0.445,"S-ph"
"172",4.6819286,6.0713816,5.4944525,4.969823,4.4303718,4.9545455,4.7503037,4.9996943,3.581618,5.7911596,4.3059297,4.4810696,0.0289999999999999,"G1"
"173",4.1969533,4.8258386,4.7780323,4.5291185,2.4146912,4.260551,2.1133523,4.575148,4.802221,4.174822,0,5.5991983,0.347,"S-ph"
"174",4.3911295,6.070459,4.8329473,4.0513763,4.0513763,4.819632,4.160769,4.4890513,3.9285305,4.806137,4.543509,3.9918387,0.078,"G1"
"175",5.1396422,4.612239,4.174273,5.621548,3.6032338,4.626908,3.4263446,5.019318,4.655616,4.96889,4.3804574,5.6533523,0.461,"S-ph"
"176",3.947579,4.7277603,4.403966,4.8264513,3.9966474,4.1718907,2.9569607,4.8159547,2.886843,4.6310287,1.2824965,4.53796,0.917,"G2M"
"177",2.758676,4.69803,4.8158693,4.8740025,3.4864314,4.6385756,3.549055,4.995412,4.0043755,4.7810674,3.2709112,4.472351,0.874,"G2M"
"178",4.8284254,5.8197002,4.8589544,5.522739,4.68417,5.329807,4.37953,5.251731,3.7146976,4.9173517,5.408031,5.5828247,0.760999999999999,"G2M"
"179",4.7682157,5.0187325,5.0708413,5.056228,4.093215,4.787659,3.9482303,5.66948,4.6539426,4.7779846,6.4038873,5.9642467,0.501,"S-ph"
"180",4.730065,6.4462976,5.7208157,5.0902805,4.900521,5.1797767,5.007747,5.5452604,2.981489,5.681726,1.736826,4.5977936,0.034,"G1"
"181",4.294745,5.3903484,4.8744073,5.870801,3.4164493,4.683345,4.093046,5.172909,4.1786656,5.1102643,4.198972,5.92948,0.6,"S-ph"
"182",4.8147855,5.2329173,4.5982823,5.3695903,3.6564846,4.5631394,3.425002,4.6968575,3.4967823,4.5867047,2.83348,5.081686,0.802999999999999,"G2M"
"183",5.016273,6.4082227,5.0511355,4.6211643,4.521562,5.340642,5.0848236,3.649671,3.9584575,4.9426746,0,4.3011327,0.038,"G1"
"184",4.9601316,4.686107,4.697303,5.4969177,3.079778,4.674784,3.6276407,5.4242787,4.802865,4.566661,4.0242066,6.107096,0.536,"S-ph"
"185",4.9288373,6.133999,5.067315,5.8609853,5.074098,5.0808353,4.86426,4.9288373,2.8453126,5.594543,3.7390394,5.158331,0.832,"G2M"
